cond_uscm,datetime,Real_Time,Temp_C,Cond_uScm-1,Elapsed_sec
0,2025-04-23 12:34:40,946684942,21.95,0,137
0,2025-04-23 12:35:00,946684962,23.34,0,157
0,2025-04-23 12:35:20,946684982,23.65,0,177
0,2025-04-23 12:35:40,946685002,23.66,0,197
0,2025-04-23 12:36:00,946685022,23.67,0,217
0,2025-04-23 12:36:20,946685042,23.67,0,237
0,2025-04-23 12:36:40,946685062,23.67,0,257
0,2025-04-23 12:37:00,946685082,23.66,0,277
0,2025-04-23 12:37:20,946685102,23.65,0,297
0,2025-04-23 12:37:40,946685122,23.63,0,317
0,2025-04-23 12:38:00,946685142,23.61,0,337
0,2025-04-23 12:38:20,946685162,23.59,0,357
0,2025-04-23 12:38:40,946685182,23.57,0,377
0,2025-04-23 12:39:00,946685202,23.55,0,397
0,2025-04-23 12:39:20,946685222,23.52,0,417
0,2025-04-23 12:39:40,946685242,23.5,0,437
0,2025-04-23 12:40:00,946685263,23.48,0,458
0,2025-04-23 12:40:20,946685283,23.45,0,478
0,2025-04-23 12:40:40,946685303,23.43,0,498
0,2025-04-23 12:41:00,946685323,23.02,0,518
0,2025-04-23 12:41:20,946685343,22.71,0,538
0,2025-04-23 12:41:40,946685363,22.68,0,558
12880,2025-04-23 12:41:53,946685383,22.06,15120,578
12880,2025-04-23 12:42:13,946685403,21.77,15200,598
12880,2025-04-23 12:42:33,946685423,21.76,13540,618
12880,2025-04-23 12:42:53,946685443,21.75,15500,638
12880,2025-04-23 12:43:13,946685463,21.73,15490,658
12880,2025-04-23 12:43:33,946685483,21.72,15490,678
12880,2025-04-23 12:43:53,946685503,21.7,15490,698
12880,2025-04-23 12:44:13,946685523,21.69,15490,718
12880,2025-04-23 12:44:33,946685543,21.68,15500,738
12880,2025-04-23 12:44:53,946685563,21.67,15500,758
12880,2025-04-23 12:45:13,946685583,21.67,15500,778
12880,2025-04-23 12:45:33,946685603,21.66,15500,798
12880,2025-04-23 12:45:53,946685623,21.65,15500,818
12880,2025-04-23 12:46:13,946685643,21.65,15490,838
12880,2025-04-23 12:46:33,946685663,21.64,15490,858
12880,2025-04-23 12:46:53,946685683,21.63,15500,878
12880,2025-04-23 12:47:13,946685702,21.63,15500,897
12880,2025-04-23 12:47:33,946685722,21.62,15490,917
12880,2025-04-23 12:47:53,946685742,21.61,15490,937
12880,2025-04-23 12:48:13,946685762,21.6,15490,957
12880,2025-04-23 12:48:33,946685782,21.6,15490,977
12880,2025-04-23 12:48:53,946685802,21.59,15490,997
12880,2025-04-23 12:49:13,946685822,21.59,15490,1017
12880,2025-04-23 12:49:33,946685842,21.58,15490,1037
12880,2025-04-23 12:49:53,946685862,21.58,15490,1057
12880,2025-04-23 12:50:13,946685882,21.57,15490,1077
12880,2025-04-23 12:50:33,946685882,21.57,15490,1077
12880,2025-04-23 12:50:53,946685882,21.57,15490,1077
80000,2025-04-23 12:51:31,946685962,21.71,98820,1157
80000,2025-04-23 12:51:51,946685982,21.69,98980,1177
80000,2025-04-23 12:52:11,946686002,21.67,99130,1197
80000,2025-04-23 12:52:31,946686022,21.66,99200,1217
80000,2025-04-23 12:52:51,946686042,21.64,99280,1237
80000,2025-04-23 12:53:11,946686062,21.63,99290,1257
80000,2025-04-23 12:53:31,946686082,21.62,99380,1277
80000,2025-04-23 12:53:51,946686102,21.61,99350,1297
80000,2025-04-23 12:54:11,946686122,21.6,99340,1317
80000,2025-04-23 12:54:31,946686142,21.59,99340,1337
80000,2025-04-23 12:54:51,946686162,21.58,99350,1357
80000,2025-04-23 12:55:11,946686182,21.58,99330,1377
80000,2025-04-23 12:55:31,946686202,21.57,99330,1397
80000,2025-04-23 12:55:51,946686222,21.57,99400,1417
80000,2025-04-23 12:56:11,946686242,21.56,99300,1437
80000,2025-04-23 12:56:31,946686262,21.55,99360,1457
80000,2025-04-23 12:56:51,946686282,21.55,99290,1477
80000,2025-04-23 12:57:11,946686302,21.54,99300,1497
80000,2025-04-23 12:57:31,946686323,21.54,99300,1518
80000,2025-04-23 12:57:51,946686343,21.53,99290,1538
80000,2025-04-23 12:58:11,946686363,21.53,99310,1558
80000,2025-04-23 12:58:31,946686383,21.52,99260,1578
80000,2025-04-23 12:58:51,946686403,21.52,99300,1598
80000,2025-04-23 12:59:11,946686423,21.51,99260,1618
80000,2025-04-23 12:59:31,946686423,21.51,99260,1618
80000,2025-04-23 12:59:40,946686423,21.51,99260,1618
