Real_Time,Temp_C,Cond_uScm-1
946684805,21.26,0.00
946684822,21.42,0.00
Real_Time,Temp_C,Cond_uScm-1
946684805,21.43,0.00
946684822,21.44,0.00
Real_Time,Temp_C,Cond_uScm-1
946684805,21.45,0.00
946684822,21.46,0.00
946684842,21.48,0.00
946684862,21.49,0.00
946684882,21.51,0.00
946684902,21.53,0.00
946684922,21.66,0.00
946684942,21.95,0.00
946684962,23.34,0.00
946684982,23.65,0.00
946685002,23.66,0.00
946685022,23.67,0.00
946685042,23.67,0.00
946685062,23.67,0.00
946685082,23.66,0.00
946685102,23.65,0.00
946685122,23.63,0.00
946685142,23.61,0.00
946685162,23.59,0.00
946685182,23.57,0.00
946685202,23.55,0.00
946685222,23.52,0.00
946685242,23.50,0.00
946685263,23.48,0.00
946685283,23.45,0.00
946685303,23.43,0.00
946685323,23.02,0.00
946685343,22.71,0.00
946685363,22.68,0.00
946685383,22.06,15120.00
946685403,21.77,15200.00
946685423,21.76,13540.00
946685443,21.75,15500.00
946685463,21.73,15490.00
946685483,21.72,15490.00
946685503,21.70,15490.00
946685523,21.69,15490.00
946685543,21.68,15500.00
946685563,21.67,15500.00
946685583,21.67,15500.00
946685603,21.66,15500.00
946685623,21.65,15500.00
946685643,21.65,15490.00
946685663,21.64,15490.00
946685683,21.63,15500.00
946685702,21.63,15500.00
946685722,21.62,15490.00
946685742,21.61,15490.00
946685762,21.60,15490.00
946685782,21.60,15490.00
946685802,21.59,15490.00
946685822,21.59,15490.00
946685842,21.58,15490.00
946685862,21.58,15490.00
946685882,21.57,15490.00
946685902,21.56,5999.00
946685922,21.70,0.00
946685942,21.72,0.00
946685962,21.71,98820.00
946685982,21.69,98980.00
946686002,21.67,99130.00
946686022,21.66,99200.00
946686042,21.64,99280.00
946686062,21.63,99290.00
946686082,21.62,99380.00
946686102,21.61,99350.00
946686122,21.60,99340.00
946686142,21.59,99340.00
946686162,21.58,99350.00
946686182,21.58,99330.00
946686202,21.57,99330.00
946686222,21.57,99400.00
946686242,21.56,99300.00
946686262,21.55,99360.00
946686282,21.55,99290.00
946686302,21.54,99300.00
946686323,21.54,99300.00
946686343,21.53,99290.00
946686363,21.53,99310.00
946686383,21.52,99260.00
946686403,21.52,99300.00
946686423,21.51,99260.00
946686443,21.49,0.00
