cond_uscm,datetime,Real_Time,Temp_C,Cond_uScm-1,Elapsed_sec
0,4/23/2025 12:34,946684942,21.95,0,137
0,4/23/2025 12:35,946684962,23.34,0,157
0,4/23/2025 12:35,946684982,23.65,0,177
0,4/23/2025 12:35,946685002,23.66,0,197
0,4/23/2025 12:36,946685022,23.67,0,217
0,4/23/2025 12:36,946685042,23.67,0,237
0,4/23/2025 12:36,946685062,23.67,0,257
0,4/23/2025 12:37,946685082,23.66,0,277
0,4/23/2025 12:37,946685102,23.65,0,297
0,4/23/2025 12:37,946685122,23.63,0,317
0,4/23/2025 12:38,946685142,23.61,0,337
0,4/23/2025 12:38,946685162,23.59,0,357
0,4/23/2025 12:38,946685182,23.57,0,377
0,4/23/2025 12:39,946685202,23.55,0,397
0,4/23/2025 12:39,946685222,23.52,0,417
0,4/23/2025 12:39,946685242,23.5,0,437
0,4/23/2025 12:40,946685263,23.48,0,458
0,4/23/2025 12:40,946685283,23.45,0,478
0,4/23/2025 12:40,946685303,23.43,0,498
0,4/23/2025 12:41,946685323,23.02,0,518
0,4/23/2025 12:41,946685343,22.71,0,538
0,4/23/2025 12:41,946685363,22.68,0,558
12880,4/23/2025 12:41,946685383,22.06,15120,578
12880,4/23/2025 12:42,946685403,21.77,15200,598
12880,4/23/2025 12:42,946685423,21.76,13540,618
12880,4/23/2025 12:42,946685443,21.75,15500,638
12880,4/23/2025 12:43,946685463,21.73,15490,658
12880,4/23/2025 12:43,946685483,21.72,15490,678
12880,4/23/2025 12:43,946685503,21.7,15490,698
12880,4/23/2025 12:44,946685523,21.69,15490,718
12880,4/23/2025 12:44,946685543,21.68,15500,738
12880,4/23/2025 12:44,946685563,21.67,15500,758
12880,4/23/2025 12:45,946685583,21.67,15500,778
12880,4/23/2025 12:45,946685603,21.66,15500,798
12880,4/23/2025 12:45,946685623,21.65,15500,818
12880,4/23/2025 12:46,946685643,21.65,15490,838
12880,4/23/2025 12:46,946685663,21.64,15490,858
12880,4/23/2025 12:46,946685683,21.63,15500,878
12880,4/23/2025 12:47,946685702,21.63,15500,897
12880,4/23/2025 12:47,946685722,21.62,15490,917
12880,4/23/2025 12:47,946685742,21.61,15490,937
12880,4/23/2025 12:48,946685762,21.6,15490,957
12880,4/23/2025 12:48,946685782,21.6,15490,977
12880,4/23/2025 12:48,946685802,21.59,15490,997
12880,4/23/2025 12:49,946685822,21.59,15490,1017
12880,4/23/2025 12:49,946685842,21.58,15490,1037
12880,4/23/2025 12:49,946685862,21.58,15490,1057
12880,4/23/2025 12:50,946685882,21.57,15490,1077
12880,4/23/2025 12:50,946685882,21.57,15490,1077
12880,4/23/2025 12:50,946685882,21.57,15490,1077
80000,4/23/2025 12:51,946685962,21.71,98820,1157
80000,4/23/2025 12:51,946685982,21.69,98980,1177
80000,4/23/2025 12:52,946686002,21.67,99130,1197
80000,4/23/2025 12:52,946686022,21.66,99200,1217
80000,4/23/2025 12:52,946686042,21.64,99280,1237
80000,4/23/2025 12:53,946686062,21.63,99290,1257
80000,4/23/2025 12:53,946686082,21.62,99380,1277
80000,4/23/2025 12:53,946686102,21.61,99350,1297
80000,4/23/2025 12:54,946686122,21.6,99340,1317
80000,4/23/2025 12:54,946686142,21.59,99340,1337
80000,4/23/2025 12:54,946686162,21.58,99350,1357
80000,4/23/2025 12:55,946686182,21.58,99330,1377
80000,4/23/2025 12:55,946686202,21.57,99330,1397
80000,4/23/2025 12:55,946686222,21.57,99400,1417
80000,4/23/2025 12:56,946686242,21.56,99300,1437
80000,4/23/2025 12:56,946686262,21.55,99360,1457
80000,4/23/2025 12:56,946686282,21.55,99290,1477
80000,4/23/2025 12:57,946686302,21.54,99300,1497
80000,4/23/2025 12:57,946686323,21.54,99300,1518
80000,4/23/2025 12:57,946686343,21.53,99290,1538
80000,4/23/2025 12:58,946686363,21.53,99310,1558
80000,4/23/2025 12:58,946686383,21.52,99260,1578
80000,4/23/2025 12:58,946686403,21.52,99300,1598
80000,4/23/2025 12:59,946686423,21.51,99260,1618
80000,4/23/2025 12:59,946686423,21.51,99260,1618
80000,4/23/2025 12:59,946686423,21.51,99260,1618
