Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode,Elapsed_sec,datetime
946684805,22.61,0,0.55,98.29,0,0,2026-07-22 15:28:21
946684823,22.8,0,0.05,96.87,0,18,2026-07-22 15:28:39
946684843,22.94,0,0.04,95.45,0,38,2026-07-22 15:28:59
946684863,23.15,0,0.04,93.86,0,58,2026-07-22 15:29:19
946684882,23.32,0,0.04,92.44,0,77,2026-07-22 15:29:38
946684902,23.36,0,0.04,91.02,0,97,2026-07-22 15:29:58
946684922,23.33,0,0.04,89.43,0,117,2026-07-22 15:30:18
946684943,23.19,0,0.04,87.93,0,138,2026-07-22 15:30:39
946684963,23.34,0,0.04,86.34,0,158,2026-07-22 15:30:59
946684982,23.35,0,0.04,84.91,0,177,2026-07-22 15:31:18
946685002,23.34,0,0.04,83.36,0,197,2026-07-22 15:31:38
946685022,23.33,0,0.04,81.89,0,217,2026-07-22 15:31:58
946685043,23.32,0,0.04,80.42,0,238,2026-07-22 15:32:19
946685063,23.38,0,0.04,78.95,0,258,2026-07-22 15:32:39
946685082,23.38,0,0.04,77.48,0,277,2026-07-22 15:32:58
946685102,23.46,0,0.04,75.86,0,297,2026-07-22 15:33:18
946685122,23.22,0,0.04,74.38,0,317,2026-07-22 15:33:38
946685143,23.3,0,0.04,72.91,0,338,2026-07-22 15:33:59
946685163,23.29,0,0.04,71.43,0,358,2026-07-22 15:34:19
946685182,23.3,0,0.04,69.95,0,377,2026-07-22 15:34:38
946685282,23.18,5967,0.04,62.68,0,477,2026-07-22 15:36:18
946685302,23.08,6254,0.04,61.38,0,497,2026-07-22 15:36:38
946685322,23.13,6444,0.04,59.79,0,517,2026-07-22 15:36:58
946685343,23.37,6502,0.04,58.53,0,538,2026-07-22 15:37:19
946685363,23.36,6462,0.04,56.95,0,558,2026-07-22 15:37:39
946685383,23.3,6459,0.04,55.36,0,578,2026-07-22 15:37:59
946685402,23.32,6428,0.04,53.78,0,597,2026-07-22 15:38:18
946685422,23.09,6403,0.04,52.31,0,617,2026-07-22 15:38:38
946685442,23.35,6410,0.04,50.78,0,637,2026-07-22 15:38:58
946685463,23.49,6368,0.04,49.24,0,658,2026-07-22 15:39:19
946685483,23.19,6391,0.04,48.09,0,678,2026-07-22 15:39:39
946685502,23.37,6407,0.04,46.5,0,697,2026-07-22 15:39:58
946685522,23.27,6434,0.04,45.28,0,717,2026-07-22 15:40:18
946685542,23.18,6461,0.04,43.64,0,737,2026-07-22 15:40:38
946685642,23.14,11070,0.04,36.14,0,837,2026-07-22 15:42:18
946685663,23.32,11390,0.04,34.7,0,858,2026-07-22 15:42:39
946685683,23.33,11530,0.04,33.41,0,878,2026-07-22 15:42:59
946685703,23.32,11570,0.04,31.69,0,898,2026-07-22 15:43:19
946685722,23.32,11640,0.04,30.4,0,917,2026-07-22 15:43:38
946685742,23.33,11540,0.04,28.68,0,937,2026-07-22 15:43:58
946685762,23.33,11580,0.04,27.39,0,957,2026-07-22 15:44:18
946685783,23.34,11460,0.04,25.68,0,978,2026-07-22 15:44:39
946685803,23.34,11600,0.04,24.39,0,998,2026-07-22 15:44:59
946685822,23.34,11840,0.04,22.67,0,1017,2026-07-22 15:45:18
946685842,23.4,11700,0.04,21.38,0,1037,2026-07-22 15:45:38
946685862,23.4,11910,0.04,19.83,0,1057,2026-07-22 15:45:58
946685883,23.4,11910,0.04,18.28,0,1078,2026-07-22 15:46:19
946685903,23.4,11900,0.04,16.73,0,1098,2026-07-22 15:46:39
946685922,23.39,11930,0.04,15.43,0,1117,2026-07-22 15:46:58
946685942,23.4,11930,0.04,13.88,0,1137,2026-07-22 15:47:18
946685962,23.4,12000,0.04,12.59,0,1157,2026-07-22 15:47:38
946685983,23.4,11840,0.04,11.03,0,1178,2026-07-22 15:47:59
946686003,23.4,11840,0.04,9.74,0,1198,2026-07-22 15:48:19
946686023,23.42,11710,0.04,8.21,0,1218,2026-07-22 15:48:39
946686042,23.27,11720,0.04,6.86,0,1237,2026-07-22 15:48:58
946686062,23.49,11750,0.04,5.49,0,1257,2026-07-22 15:49:18
