cond_uscm,datetime,Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode,Elapsed_sec,Cond_uScm-1_cal
0,2026-07-22 15:29:15,946684863,23.15,0,0.04,93.86,0,58,-51.14
0,2026-07-22 15:29:35,946684882,23.32,0,0.04,92.44,0,77,-51.14
0,2026-07-22 15:29:55,946684902,23.36,0,0.04,91.02,0,97,-51.14
0,2026-07-22 15:30:15,946684922,23.33,0,0.04,89.43,0,117,-51.14
0,2026-07-22 15:30:35,946684943,23.19,0,0.04,87.93,0,138,-51.14
0,2026-07-22 15:30:55,946684963,23.34,0,0.04,86.34,0,158,-51.14
0,2026-07-22 15:31:15,946684982,23.35,0,0.04,84.91,0,177,-51.14
0,2026-07-22 15:31:35,946685002,23.34,0,0.04,83.36,0,197,-51.14
0,2026-07-22 15:31:55,946685022,23.33,0,0.04,81.89,0,217,-51.14
0,2026-07-22 15:32:15,946685043,23.32,0,0.04,80.42,0,238,-51.14
0,2026-07-22 15:32:35,946685063,23.38,0,0.04,78.95,0,258,-51.14
0,2026-07-22 15:32:55,946685082,23.38,0,0.04,77.48,0,277,-51.14
0,2026-07-22 15:33:15,946685102,23.46,0,0.04,75.86,0,297,-51.14
0,2026-07-22 15:33:35,946685122,23.22,0,0.04,74.38,0,317,-51.14
0,2026-07-22 15:33:55,946685143,23.3,0,0.04,72.91,0,338,-51.14
0,2026-07-22 15:34:15,946685163,23.29,0,0.04,71.43,0,358,-51.14
0,2026-07-22 15:34:35,946685182,23.3,0,0.04,69.95,0,377,-51.14
0,2026-07-22 15:34:47,946685182,23.3,0,0.04,69.95,0,377,-51.14
12880,2026-07-22 15:35:30,946685282,23.18,5967,0.04,62.68,0,477,5259.49
12880,2026-07-22 15:35:50,946685282,23.18,5967,0.04,62.68,0,477,5259.49
12880,2026-07-22 15:36:10,946685282,23.18,5967,0.04,62.68,0,477,5259.49
12880,2026-07-22 15:36:30,946685302,23.08,6254,0.04,61.38,0,497,5514.92
12880,2026-07-22 15:36:50,946685322,23.13,6444,0.04,59.79,0,517,5684.0199999999995
12880,2026-07-22 15:37:10,946685343,23.37,6502,0.04,58.53,0,538,5735.639999999999
12880,2026-07-22 15:37:30,946685363,23.36,6462,0.04,56.95,0,558,5700.04
12880,2026-07-22 15:37:50,946685383,23.3,6459,0.04,55.36,0,578,5697.37
12880,2026-07-22 15:38:10,946685402,23.32,6428,0.04,53.78,0,597,5669.78
12880,2026-07-22 15:38:30,946685422,23.09,6403,0.04,52.31,0,617,5647.53
12880,2026-07-22 15:38:50,946685442,23.35,6410,0.04,50.78,0,637,5653.759999999999
12880,2026-07-22 15:39:10,946685463,23.49,6368,0.04,49.24,0,658,5616.38
12880,2026-07-22 15:39:30,946685483,23.19,6391,0.04,48.09,0,678,5636.849999999999
12880,2026-07-22 15:39:50,946685502,23.37,6407,0.04,46.5,0,697,5651.09
12880,2026-07-22 15:40:10,946685522,23.27,6434,0.04,45.28,0,717,5675.12
12880,2026-07-22 15:40:30,946685542,23.18,6461,0.04,43.64,0,737,5699.15
12880,2026-07-22 15:40:47,946685542,23.18,6461,0.04,43.64,0,737,5699.15
80000,2026-07-22 15:41:55,946685642,23.14,11070,0.04,36.14,0,837,9801.16
80000,2026-07-22 15:42:15,946685642,23.14,11070,0.04,36.14,0,837,9801.16
80000,2026-07-22 15:42:35,946685663,23.32,11390,0.04,34.7,0,858,10085.960000000001
80000,2026-07-22 15:42:55,946685683,23.33,11530,0.04,33.41,0,878,10210.560000000001
80000,2026-07-22 15:43:15,946685703,23.32,11570,0.04,31.69,0,898,10246.16
80000,2026-07-22 15:43:35,946685722,23.32,11640,0.04,30.4,0,917,10308.460000000001
80000,2026-07-22 15:43:55,946685742,23.33,11540,0.04,28.68,0,937,10219.460000000001
80000,2026-07-22 15:44:15,946685762,23.33,11580,0.04,27.39,0,957,10255.060000000001
80000,2026-07-22 15:44:35,946685783,23.34,11460,0.04,25.68,0,978,10148.26
80000,2026-07-22 15:44:55,946685803,23.34,11600,0.04,24.39,0,998,10272.86
80000,2026-07-22 15:45:15,946685822,23.34,11840,0.04,22.67,0,1017,10486.460000000001
80000,2026-07-22 15:45:35,946685842,23.4,11700,0.04,21.38,0,1037,10361.86
80000,2026-07-22 15:45:55,946685862,23.4,11910,0.04,19.83,0,1057,10548.76
80000,2026-07-22 15:46:15,946685883,23.4,11910,0.04,18.28,0,1078,10548.76
80000,2026-07-22 15:46:35,946685903,23.4,11900,0.04,16.73,0,1098,10539.86
80000,2026-07-22 15:46:55,946685922,23.39,11930,0.04,15.43,0,1117,10566.560000000001
80000,2026-07-22 15:47:15,946685942,23.4,11930,0.04,13.88,0,1137,10566.560000000001
80000,2026-07-22 15:47:35,946685962,23.4,12000,0.04,12.59,0,1157,10628.86
80000,2026-07-22 15:47:55,946685983,23.4,11840,0.04,11.03,0,1178,10486.460000000001
80000,2026-07-22 15:48:15,946686003,23.4,11840,0.04,9.74,0,1198,10486.460000000001
80000,2026-07-22 15:48:35,946686023,23.42,11710,0.04,8.21,0,1218,10370.76
80000,2026-07-22 15:48:55,946686042,23.27,11720,0.04,6.86,0,1237,10379.66
80000,2026-07-22 15:49:15,946686062,23.49,11750,0.04,5.49,0,1257,10406.36
80000,2026-07-22 15:49:30,946686062,23.49,11750,0.04,5.49,0,1257,10406.36
