cond_uscm,datetime
0,2026-07-22 15:29:15
0,2026-07-22 15:29:35
0,2026-07-22 15:29:55
0,2026-07-22 15:30:15
0,2026-07-22 15:30:35
0,2026-07-22 15:30:55
0,2026-07-22 15:31:15
0,2026-07-22 15:31:35
0,2026-07-22 15:31:55
0,2026-07-22 15:32:15
0,2026-07-22 15:32:35
0,2026-07-22 15:32:55
0,2026-07-22 15:33:15
0,2026-07-22 15:33:35
0,2026-07-22 15:33:55
0,2026-07-22 15:34:15
0,2026-07-22 15:34:35
0,2026-07-22 15:34:47
12880,2026-07-22 15:35:30
12880,2026-07-22 15:35:50
12880,2026-07-22 15:36:10
12880,2026-07-22 15:36:30
12880,2026-07-22 15:36:50
12880,2026-07-22 15:37:10
12880,2026-07-22 15:37:30
12880,2026-07-22 15:37:50
12880,2026-07-22 15:38:10
12880,2026-07-22 15:38:30
12880,2026-07-22 15:38:50
12880,2026-07-22 15:39:10
12880,2026-07-22 15:39:30
12880,2026-07-22 15:39:50
12880,2026-07-22 15:40:10
12880,2026-07-22 15:40:30
12880,2026-07-22 15:40:47
80000,2026-07-22 15:41:55
80000,2026-07-22 15:42:15
80000,2026-07-22 15:42:35
80000,2026-07-22 15:42:55
80000,2026-07-22 15:43:15
80000,2026-07-22 15:43:35
80000,2026-07-22 15:43:55
80000,2026-07-22 15:44:15
80000,2026-07-22 15:44:35
80000,2026-07-22 15:44:55
80000,2026-07-22 15:45:15
80000,2026-07-22 15:45:35
80000,2026-07-22 15:45:55
80000,2026-07-22 15:46:15
80000,2026-07-22 15:46:35
80000,2026-07-22 15:46:55
80000,2026-07-22 15:47:15
80000,2026-07-22 15:47:35
80000,2026-07-22 15:47:55
80000,2026-07-22 15:48:15
80000,2026-07-22 15:48:35
80000,2026-07-22 15:48:55
80000,2026-07-22 15:49:15
80000,2026-07-22 15:49:30
