cond_uscm,datetime,Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode,Elapsed_sec
0,2025-12-22 11:22:58,946684883,22.1,0,3.95,57.26,0,77
0,2025-12-22 11:23:18,946684903,21.98,0,3.95,57.26,0,97
0,2025-12-22 11:23:38,946684922,21.98,0,3.96,57.26,0,116
0,2025-12-22 11:23:58,946684942,21.99,0,3.96,57.26,0,136
0,2025-12-22 11:24:18,946684962,21.99,0,3.96,57.26,0,156
0,2025-12-22 11:24:38,946684983,21.98,0,3.96,57.26,0,177
0,2025-12-22 11:24:58,946685003,21.98,0,3.96,57.26,0,197
0,2025-12-22 11:25:18,946685022,21.98,0,3.96,57.58,0,216
0,2025-12-22 11:25:38,946685042,22.06,0,3.96,57.58,0,236
0,2025-12-22 11:25:58,946685062,21.83,0,3.97,57.58,0,256
0,2025-12-22 11:26:18,946685083,22.03,0,3.97,57.58,0,277
0,2025-12-22 11:26:38,946685103,21.89,0,3.97,57.58,0,297
0,2025-12-22 11:26:58,946685123,22.04,0,3.97,57.58,0,317
0,2025-12-22 11:27:18,946685142,21.83,0,3.97,57.58,0,336
0,2025-12-22 11:27:38,946685162,21.85,0,3.97,57.89,0,356
0,2025-12-22 11:27:58,946685182,21.86,0,3.97,57.89,0,376
0,2025-12-22 11:28:18,946685203,21.79,0,3.97,57.89,0,397
0,2025-12-22 11:28:34,946685223,21.47,0,3.97,57.89,0,417
12880,2025-12-22 11:29:12,946685262,21.58,14020,3.98,57.89,0,456
12880,2025-12-22 11:29:32,946685262,21.58,14020,3.98,57.89,0,456
12880,2025-12-22 11:29:52,946685282,21.71,14040,3.98,57.89,0,476
12880,2025-12-22 11:30:12,946685302,21.7,14050,3.98,58.21,0,496
12880,2025-12-22 11:30:32,946685323,21.68,14040,3.98,58.21,0,517
12880,2025-12-22 11:30:52,946685343,21.69,14040,3.98,58.21,0,537
12880,2025-12-22 11:31:12,946685362,21.69,14040,3.98,58.21,0,556
12880,2025-12-22 11:31:32,946685382,21.7,14040,3.98,58.21,0,576
12880,2025-12-22 11:31:52,946685402,21.64,14040,3.98,58.21,0,596
12880,2025-12-22 11:32:12,946685423,21.65,14040,3.98,58.21,0,617
12880,2025-12-22 11:32:32,946685443,21.63,14040,3.98,58.53,0,637
12880,2025-12-22 11:32:52,946685463,21.65,14030,3.98,58.53,0,657
12880,2025-12-22 11:33:12,946685482,21.66,14040,3.99,58.53,0,676
12880,2025-12-22 11:33:32,946685502,21.66,14040,3.99,58.53,0,696
12880,2025-12-22 11:33:52,946685522,21.75,14040,3.99,58.53,0,716
12880,2025-12-22 11:34:12,946685543,21.75,14040,3.99,58.53,0,737
12880,2025-12-22 11:34:32,946685563,21.74,14040,3.99,58.53,0,757
12880,2025-12-22 11:34:51,946685582,21.75,14040,3.99,58.84,0,776
80000,2025-12-22 11:35:34,946685643,21.8,75650,3.99,58.84,0,837
80000,2025-12-22 11:35:54,946685663,21.65,76050,3.99,58.84,0,857
80000,2025-12-22 11:36:14,946685683,21.66,76240,3.99,58.84,0,877
80000,2025-12-22 11:36:34,946685702,21.65,76220,3.99,59.16,0,896
80000,2025-12-22 11:36:54,946685722,21.66,76320,4.0,59.16,0,916
80000,2025-12-22 11:37:14,946685742,21.81,76400,4.0,59.16,0,936
80000,2025-12-22 11:37:34,946685763,21.67,76470,4.0,59.16,0,957
80000,2025-12-22 11:37:54,946685783,21.67,76520,4.0,59.16,0,977
80000,2025-12-22 11:38:14,946685802,21.79,76600,4.0,59.16,0,996
80000,2025-12-22 11:38:34,946685822,21.77,76690,4.0,59.48,0,1016
80000,2025-12-22 11:38:54,946685842,21.76,76840,4.0,59.48,0,1036
80000,2025-12-22 11:39:14,946685863,21.75,76890,4.0,59.48,0,1057
80000,2025-12-22 11:39:34,946685883,21.74,76910,4.0,59.48,0,1077
80000,2025-12-22 11:39:54,946685903,21.73,76940,4.0,59.48,0,1097
80000,2025-12-22 11:40:14,946685922,21.91,77040,4.0,59.48,0,1116
80000,2025-12-22 11:40:34,946685942,21.68,77110,4.0,59.79,0,1136
80000,2025-12-22 11:40:54,946685962,21.68,77160,4.0,59.79,0,1156
80000,2025-12-22 11:41:14,946685983,21.69,77250,4.01,59.79,0,1177
80000,2025-12-22 11:41:34,946685983,21.69,77250,4.01,59.79,0,1177
