Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode,,
946684805,20.32,0,0.45,97.03,0,,
946684823,20.31,0,0.04,95.6,0,,
946684843,19.9,0,0.04,94.18,0,,
946684863,19.73,0,0.04,92.6,0,,
946684882,21.39,0,0.04,91.17,0,,
946684902,22.73,0,0.04,89.59,0,,
946684922,22.88,0,0.04,88.07,0,,
946684943,22.97,0,0.04,86.63,0,,
946684963,23.16,0,0.04,85.2,0,,
946684982,23.15,0,0.04,83.68,0,,
946685002,23.15,0,0.04,82.21,0,,
946685022,23.16,0,0.04,80.75,0,,
946685043,23.14,0,0.04,79.28,0,,
946685063,23.14,0,0.04,77.81,0,,
946685083,23.15,0,0.04,76.18,0,,
946685102,23.16,0,0.04,74.71,0,,
946685122,23.31,0,0.04,73.4,0,,
946685143,23.31,0,0.04,71.76,0,,
946685163,23.29,0,0.04,70.28,0,,
946685183,23.13,0,0.04,68.8,0,,
946685202,22.93,0,0.04,67.3,0,,
946685222,22.79,0,0.04,65.71,0,,
946685243,22.93,10010,0.04,64.41,0,,
946685263,23.1,10010,0.04,62.96,0,,
946685283,23.28,10020,0.04,61.52,0,,
946685302,23.27,10020,0.04,60.11,0,,
946685322,23.38,10020,0.04,58.53,0,,
946685342,23.21,10020,0.04,56.95,0,,
946685363,23.23,10020,0.04,55.68,0,,
946685383,23.23,10020,0.04,54.1,0,,
946685402,23.45,10020,0.04,52.7,0,,
946685422,23.3,10020,0.04,51.16,0,,
946685442,23.27,10020,0.04,49.62,0,,
946685463,23.27,10020,0.04,48.09,0,,
946685483,23.28,10020,0.04,46.5,0,,
946685502,23.29,10020,0.04,45.28,0,,
946685522,23.3,10020,0.04,43.64,0,,
946685542,23.24,10030,0.04,42.41,0,,
946685563,23.41,10030,0.04,40.82,0,,
946685583,23.27,10020,0.04,39.38,0,,
946685602,23.42,10030,0.04,37.94,0,,
946685622,23.2,10020,0.04,36.5,0,,
946685642,23.35,10020,0.04,35.06,0,,
946685663,23.34,10020,0.04,33.41,0,,
946685683,22.95,4837,0.04,32.12,0,,
946685703,22.94,0,0.04,30.83,0,,
946685722,23.25,0,0.04,29.11,0,,
946685742,23.29,22000,0.04,27.82,0,,
946685763,23.42,22060,0.04,26.54,0,,
946685783,23.41,22070,0.04,24.82,0,,
946685803,23.39,22060,0.04,23.53,0,,
946685822,23.38,22060,0.04,21.81,0,,
946685842,23.42,22070,0.04,20.52,0,,
946685863,23.28,22070,0.04,19.05,0,,
946685883,23.3,22070,0.04,17.5,0,,
946685903,23.31,22060,0.04,16.21,0,,
946685930,23.44,22060,0.5,13.1,0,,
946685947,23.35,22070,0.04,11.81,0,,
946685968,23.35,22070,0.04,10.26,0,,
946685988,23.3,22060,0.04,8.96,0,,
946686007,23.32,22070,0.04,7.47,0,,
946686027,23.49,22070,0.04,6.12,0,,
946686047,23.48,22060,0.04,4.89,0,,
946686067,23.47,22060,0.04,3.62,0,,
946686088,23.46,22060,0.04,2.31,0,,
946686108,23.44,22060,0.04,1.6,0,,
946686128,23.51,22050,0.04,0.82,0,,
946686147,23.45,22070,0.04,0.14,0,,
946686167,23.47,22060,0.04,0.05,0,,
946686187,23.46,22060,0.04,0,0,,
946686208,23.39,22070,0.04,0,0,,
946686228,23.38,22050,0.04,0,0,,
946686247,23.38,22050,0.04,0,0,,
946686267,23.39,22010,0.04,0,0,,
946686287,23.05,0,0.04,0,0,,
946686308,22.74,0,0.04,0,0,,
