cond_uscm,datetime,Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode,Elapsed_sec
0,2026-07-22 15:00:45,946684882,21.39,0,0.04,91.17,0,77
0,2026-07-22 15:01:05,946684902,22.73,0,0.04,89.59,0,97
0,2026-07-22 15:01:25,946684922,22.88,0,0.04,88.07,0,117
0,2026-07-22 15:01:45,946684943,22.97,0,0.04,86.63,0,138
0,2026-07-22 15:02:05,946684963,23.16,0,0.04,85.2,0,158
0,2026-07-22 15:02:25,946684982,23.15,0,0.04,83.68,0,177
0,2026-07-22 15:02:45,946685002,23.15,0,0.04,82.21,0,197
0,2026-07-22 15:03:05,946685022,23.16,0,0.04,80.75,0,217
0,2026-07-22 15:03:25,946685043,23.14,0,0.04,79.28,0,238
0,2026-07-22 15:03:45,946685063,23.14,0,0.04,77.81,0,258
0,2026-07-22 15:04:05,946685083,23.15,0,0.04,76.18,0,278
0,2026-07-22 15:04:25,946685102,23.16,0,0.04,74.71,0,297
0,2026-07-22 15:04:45,946685122,23.31,0,0.04,73.4,0,317
0,2026-07-22 15:05:05,946685143,23.31,0,0.04,71.76,0,338
0,2026-07-22 15:05:25,946685163,23.29,0,0.04,70.28,0,358
0,2026-07-22 15:05:45,946685183,23.13,0,0.04,68.8,0,378
0,2026-07-22 15:06:00,946685183,23.13,0,0.04,68.8,0,378
12880,2026-07-22 15:06:45,946685243,22.93,10010,0.04,64.41,0,438
12880,2026-07-22 15:07:05,946685263,23.1,10010,0.04,62.96,0,458
12880,2026-07-22 15:07:25,946685283,23.28,10020,0.04,61.52,0,478
12880,2026-07-22 15:07:45,946685302,23.27,10020,0.04,60.11,0,497
12880,2026-07-22 15:08:05,946685322,23.38,10020,0.04,58.53,0,517
12880,2026-07-22 15:08:25,946685342,23.21,10020,0.04,56.95,0,537
12880,2026-07-22 15:08:45,946685363,23.23,10020,0.04,55.68,0,558
12880,2026-07-22 15:09:05,946685383,23.23,10020,0.04,54.1,0,578
12880,2026-07-22 15:09:25,946685402,23.45,10020,0.04,52.7,0,597
12880,2026-07-22 15:09:45,946685422,23.3,10020,0.04,51.16,0,617
12880,2026-07-22 15:10:05,946685442,23.27,10020,0.04,49.62,0,637
12880,2026-07-22 15:10:25,946685463,23.27,10020,0.04,48.09,0,658
12880,2026-07-22 15:10:45,946685483,23.28,10020,0.04,46.5,0,678
12880,2026-07-22 15:11:05,946685502,23.29,10020,0.04,45.28,0,697
12880,2026-07-22 15:11:25,946685522,23.3,10020,0.04,43.64,0,717
12880,2026-07-22 15:11:45,946685542,23.24,10030,0.04,42.41,0,737
12880,2026-07-22 15:12:05,946685563,23.41,10030,0.04,40.82,0,758
12880,2026-07-22 15:12:25,946685583,23.27,10020,0.04,39.38,0,778
12880,2026-07-22 15:12:45,946685602,23.42,10030,0.04,37.94,0,797
12880,2026-07-22 15:13:05,946685622,23.2,10020,0.04,36.5,0,817
12880,2026-07-22 15:13:25,946685642,23.35,10020,0.04,35.06,0,837
12880,2026-07-22 15:13:45,946685663,23.34,10020,0.04,33.41,0,858
12880,2026-07-22 15:14:00,946685663,23.34,10020,0.04,33.41,0,858
80000,2026-07-22 15:18:20,946685930,23.44,22060,0.5,13.1,0,1125
80000,2026-07-22 15:18:40,946685947,23.35,22070,0.04,11.81,0,1142
80000,2026-07-22 15:19:00,946685968,23.35,22070,0.04,10.26,0,1163
80000,2026-07-22 15:19:20,946685988,23.3,22060,0.04,8.96,0,1183
80000,2026-07-22 15:19:40,946686007,23.32,22070,0.04,7.47,0,1202
80000,2026-07-22 15:20:00,946686027,23.49,22070,0.04,6.12,0,1222
80000,2026-07-22 15:20:20,946686047,23.48,22060,0.04,4.89,0,1242
80000,2026-07-22 15:20:40,946686067,23.47,22060,0.04,3.62,0,1262
80000,2026-07-22 15:21:00,946686088,23.46,22060,0.04,2.31,0,1283
80000,2026-07-22 15:21:20,946686108,23.44,22060,0.04,1.6,0,1303
80000,2026-07-22 15:21:40,946686128,23.51,22050,0.04,0.82,0,1323
80000,2026-07-22 15:22:00,946686147,23.45,22070,0.04,0.14,0,1342
80000,2026-07-22 15:22:20,946686167,23.47,22060,0.04,0.05,0,1362
80000,2026-07-22 15:22:40,946686187,23.46,22060,0.04,0.0,0,1382
80000,2026-07-22 15:23:00,946686208,23.39,22070,0.04,0.0,0,1403
80000,2026-07-22 15:23:20,946686228,23.38,22050,0.04,0.0,0,1423
80000,2026-07-22 15:23:40,946686247,23.38,22050,0.04,0.0,0,1442
80000,2026-07-22 15:24:00,946686267,23.39,22010,0.04,0.0,0,1462
