Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode,Elapsed_sec,datetime
946684806,0,0,3.86,57.26,0,0,2025-12-22 11:44:43
946684823,23.2,0,3.94,57.26,0,17,2025-12-22 11:45:00
946684842,24.66,0,3.94,57.26,0,36,2025-12-22 11:45:19
946684862,24.82,0,3.95,57.26,0,56,2025-12-22 11:45:39
946684882,24.57,0,3.95,57.26,0,76,2025-12-22 11:45:59
946684903,24.61,0,3.95,57.26,0,97,2025-12-22 11:46:20
946684923,24.63,0,3.95,57.26,0,117,2025-12-22 11:46:40
946684942,24.62,0,3.95,57.26,0,136,2025-12-22 11:46:59
946684962,24.6,0,3.96,57.26,0,156,2025-12-22 11:47:19
946684982,24.47,0,3.96,57.26,0,176,2025-12-22 11:47:39
946685003,24.47,0,3.96,57.58,0,197,2025-12-22 11:48:00
946685023,24.33,0,3.96,57.58,0,217,2025-12-22 11:48:20
946685043,24.34,0,3.96,57.58,0,237,2025-12-22 11:48:40
946685062,24.35,0,3.96,57.58,0,256,2025-12-22 11:48:59
946685082,24.5,0,3.96,57.58,0,276,2025-12-22 11:49:19
946685103,24.86,0,3.96,57.58,0,297,2025-12-22 11:49:40
946685123,25.24,0,3.96,57.58,0,317,2025-12-22 11:50:00
946685143,25.39,0,3.96,57.58,0,337,2025-12-22 11:50:20
946685163,25.36,0,3.97,57.89,0,357,2025-12-22 11:50:40
946685223,23.25,13950,3.97,57.89,0,417,2025-12-22 11:51:40
946685243,23.42,13990,3.97,57.89,0,437,2025-12-22 11:52:00
946685263,23.51,13990,3.97,57.89,0,457,2025-12-22 11:52:20
946685282,23.6,13980,3.97,57.89,0,476,2025-12-22 11:52:39
946685302,23.59,13980,3.97,58.21,0,496,2025-12-22 11:52:59
946685322,23.67,13980,3.97,58.21,0,516,2025-12-22 11:53:19
946685343,23.68,13980,3.97,58.21,0,537,2025-12-22 11:53:40
946685363,23.5,13990,3.98,58.21,0,557,2025-12-22 11:54:00
946685382,23.74,13990,3.98,58.21,0,576,2025-12-22 11:54:19
946685402,23.7,13990,3.98,58.21,0,596,2025-12-22 11:54:39
946685422,23.56,14000,3.98,58.21,0,616,2025-12-22 11:54:59
946685442,23.75,14000,3.98,58.53,0,636,2025-12-22 11:55:19
946685463,23.55,14000,3.98,58.53,0,657,2025-12-22 11:55:40
946685483,23.51,14000,3.98,58.53,0,677,2025-12-22 11:56:00
946685503,23.68,14010,3.98,58.53,0,697,2025-12-22 11:56:20
946685522,23.67,14010,3.98,58.53,0,716,2025-12-22 11:56:39
946685542,24.29,12890,3.98,58.53,0,736,2025-12-22 11:56:59
946685603,24.72,74700,3.99,58.84,0,797,2025-12-22 11:58:00
946685622,24.04,75620,3.99,58.84,0,816,2025-12-22 11:58:19
946685642,24.17,75680,3.99,58.84,0,836,2025-12-22 11:58:39
946685662,24.09,75800,3.99,58.84,0,856,2025-12-22 11:58:59
946685683,24.09,75980,3.99,58.84,0,877,2025-12-22 11:59:20
946685703,23.92,75990,3.99,58.84,0,897,2025-12-22 11:59:40
946685722,24.14,76090,3.99,59.16,0,916,2025-12-22 11:59:59
946685742,23.98,76000,3.99,59.16,0,936,2025-12-22 12:00:19
946685762,24.03,76210,3.99,59.16,0,956,2025-12-22 12:00:39
946685783,24.01,76280,3.99,59.16,0,977,2025-12-22 12:01:00
946685803,24.01,76260,3.99,59.16,0,997,2025-12-22 12:01:20
946685823,24.02,76310,3.99,59.16,0,1017,2025-12-22 12:01:40
946685842,24.05,76330,3.99,59.48,0,1036,2025-12-22 12:01:59
946685862,24.04,76430,3.99,59.48,0,1056,2025-12-22 12:02:19
946685882,24.02,76380,4,59.48,0,1076,2025-12-22 12:02:39
946685902,24.16,76400,4,59.48,0,1096,2025-12-22 12:02:59
946685923,24,76320,4,59.48,0,1117,2025-12-22 12:03:20
946685943,24.12,76450,4,59.48,0,1137,2025-12-22 12:03:40
