cond_uscm,datetime
0,2025-12-22 12:06:45
0,2025-12-22 12:07:05
0,2025-12-22 12:07:25
0,2025-12-22 12:07:45
0,2025-12-22 12:08:05
0,2025-12-22 12:08:25
0,2025-12-22 12:08:45
0,2025-12-22 12:09:05
0,2025-12-22 12:09:25
0,2025-12-22 12:09:45
0,2025-12-22 12:10:05
0,2025-12-22 12:10:25
0,2025-12-22 12:10:45
0,2025-12-22 12:11:05
0,2025-12-22 12:11:25
0,2025-12-22 12:11:45
0,2025-12-22 12:12:05
0,2025-12-22 12:12:17
12880,2025-12-22 12:12:41
12880,2025-12-22 12:13:01
12880,2025-12-22 12:13:21
12880,2025-12-22 12:13:41
12880,2025-12-22 12:14:01
12880,2025-12-22 12:14:21
12880,2025-12-22 12:14:41
12880,2025-12-22 12:15:01
12880,2025-12-22 12:15:21
12880,2025-12-22 12:15:41
12880,2025-12-22 12:16:01
12880,2025-12-22 12:16:21
12880,2025-12-22 12:16:41
12880,2025-12-22 12:17:01
12880,2025-12-22 12:17:21
12880,2025-12-22 12:17:41
12880,2025-12-22 12:18:01
12880,2025-12-22 12:18:15
80000,2025-12-22 12:18:54
80000,2025-12-22 12:19:14
80000,2025-12-22 12:19:34
80000,2025-12-22 12:19:54
80000,2025-12-22 12:20:14
80000,2025-12-22 12:20:34
80000,2025-12-22 12:20:54
80000,2025-12-22 12:21:14
80000,2025-12-22 12:21:34
80000,2025-12-22 12:21:54
80000,2025-12-22 12:22:14
80000,2025-12-22 12:22:34
80000,2025-12-22 12:22:54
80000,2025-12-22 12:23:14
80000,2025-12-22 12:23:34
80000,2025-12-22 12:23:54
80000,2025-12-22 12:24:14
80000,2025-12-22 12:24:26
