Real_Time,Temp_C,Cond_uScm-1
1745506803,24.48,0.00
1745507163,26.02,0.00
1745507522,25.71,0.00
1745507882,25.34,0.00
1745508242,25.67,0.00
1745508602,25.39,0.00
1745508963,25.39,0.00
1745509323,25.62,0.00
1745509683,25.64,0.00
1745510042,25.61,0.00
1745510402,25.28,0.00
1745510762,24.45,0.00
1745511123,25.04,0.00
1745511483,24.60,0.00
1745511843,25.15,0.00
1745512202,25.42,0.00
1745512562,25.41,0.00
1745512922,25.81,0.00
1745513283,25.05,0.00
1745513643,25.07,0.00
1745514003,24.87,0.00
1745514362,25.64,0.00
1745514722,24.79,0.00
1745515082,24.58,0.00
1745515443,25.41,0.00
1745515803,25.08,0.00
1745516163,25.06,0.00
1745516522,24.92,0.00
1745516883,25.64,0.00
1745517243,25.88,0.00
1745517602,26.75,0.00
1745517963,25.84,0.00
1745518323,26.14,0.00
1745518682,26.39,0.00
1745519042,25.88,0.00
1745519402,26.11,0.00
1745519762,25.48,0.00
1745520123,25.31,0.00
1745520483,25.47,0.00
1745520842,25.26,0.00
1745521203,25.27,0.00
1745521563,25.29,0.00
1745521922,25.48,0.00
1745522282,25.06,0.00
1745522642,25.06,0.00
1745523002,25.03,0.00
1745523362,25.04,0.00
1745523723,24.46,0.00
1745524083,24.75,0.00
1745524443,24.62,0.00
1745524802,24.15,0.00
1745525162,23.93,0.00
1745525523,24.39,0.00
1745525882,24.56,0.00
1745526242,24.55,0.00
1745526603,24.53,0.00
1745526962,24.36,0.00
1745527322,24.38,0.00
1745527683,24.37,0.00
1745528043,24.12,0.00
1745528403,23.89,0.00
1745528762,24.26,0.00
1745529123,23.97,0.00
1745529483,23.97,0.00
1745529843,24.19,0.00
1745530202,23.80,0.00
1745530563,23.57,0.00
1745530922,23.81,0.00
1745531282,23.60,0.00
1745531643,23.62,0.00
1745532002,23.60,0.00
1745532363,23.41,0.00
1745532723,23.19,0.00
1745533082,23.19,0.00
1745533443,23.19,0.00
1745533803,23.06,0.00
1745534163,23.03,0.00
1745534523,23.01,0.00
1745534882,22.84,0.00
1745535242,22.82,0.00
1745535603,22.80,0.00
1745535963,22.77,0.00
1745536323,22.75,0.00
1745536682,22.56,0.00
1745537043,22.56,0.00
1745537403,22.55,0.00
1745537762,22.53,0.00
1745538123,22.38,0.00
1745538483,22.25,0.00
1745538843,22.25,0.00
1745539202,22.27,0.00
1745539563,22.25,0.00
1745539923,22.22,0.00
1745540283,22.05,0.00
1745540642,22.19,0.00
1745541002,22.33,0.00
1745541363,22.17,0.00
1745541723,22.15,0.00
1745542083,21.92,0.00
1745542442,21.75,0.00
1745542803,21.92,0.00
1745543162,21.77,0.00
1745543522,21.76,0.00
1745543883,21.74,0.00
1745544242,21.73,0.00
1745544602,21.70,0.00
1745544962,21.55,0.00
1745545323,21.55,0.00
1745545683,21.53,0.00
1745546043,21.50,0.00
1745546402,21.31,0.00
1745546762,21.30,0.00
1745547123,21.28,0.00
1745547482,21.27,0.00
1745547842,21.29,0.00
1745548202,21.29,0.00
1745548562,21.16,0.00
1745548922,21.17,0.00
1745549283,21.17,0.00
1745549642,21.03,0.00
1745550002,21.05,0.00
1745550362,21.02,0.00
1745550722,21.01,0.00
1745551082,21.00,0.00
1745551442,20.99,0.00
1745551802,20.97,0.00
1745552162,20.77,0.00
1745552522,20.75,0.00
1745552882,20.72,0.00
1745553242,20.71,0.00
1745553602,20.70,0.00
1745553962,20.53,0.00
1745554322,20.39,0.00
1745554683,20.41,0.00
1745555042,20.41,0.00
1745555402,20.40,0.00
1745555762,20.40,0.00
1745556123,20.27,0.00
1745556482,20.27,0.00
1745556842,20.12,0.00
1745557202,20.12,0.00
1745557563,20.13,0.00
1745557922,20.11,0.00
1745558282,20.10,0.00
1745558642,20.08,0.00
1745559002,20.07,0.00
1745559362,19.80,0.00
1745559722,19.81,0.00
1745560082,19.66,0.00
1745560443,19.64,0.00
1745560802,19.62,0.00
1745561163,19.62,0.00
1745561522,19.63,0.00
1745561882,19.61,0.00
1745562242,19.36,0.00
1745562602,19.37,0.00
1745562963,19.40,0.00
1745563322,19.40,0.00
1745563682,19.26,0.00
1745564043,19.28,0.00
1745564402,19.28,0.00
1745564762,19.31,0.00
1745565122,19.31,0.00
1745565483,19.15,0.00
1745565843,19.31,0.00
1745566202,19.17,0.00
1745566562,19.17,0.00
1745566923,19.16,0.00
1745567283,19.15,0.00
1745567642,19.14,0.00
1745568003,19.13,0.00
1745568363,19.13,0.00
1745568722,18.99,0.00
1745569083,19.15,0.00
1745569443,19.15,0.00
1745569802,19.17,0.00
1745570163,19.17,0.00
1745570523,19.16,0.00
1745570882,18.86,0.00
1745571242,18.85,0.00
1745571603,18.68,0.00
1745571963,18.70,0.00
1745572322,18.69,0.00
1745572683,18.71,0.00
1745573043,18.73,0.00
1745573403,18.74,0.00
1745573762,18.76,0.00
1745574123,18.77,0.00
1745574483,18.76,0.00
1745574843,18.77,0.00
1745575203,18.76,0.00
1745575563,18.90,0.00
1745575923,18.90,0.00
1745576283,18.88,0.00
1745576643,18.87,0.00
1745577003,18.86,0.00
1745577363,18.85,0.00
1745577722,18.87,0.00
1745578082,18.88,0.00
1745578442,18.90,0.00
1745578803,18.92,0.00
1745579163,19.16,0.00
1745579523,19.33,0.00
1745579882,19.49,0.00
1745580242,19.74,0.00
1745580602,19.90,0.00
1745580962,20.23,0.00
1745581323,20.43,0.00
1745581683,20.88,0.00
1745582042,20.88,0.00
1745582402,21.14,0.00
1745582762,21.12,0.00
1745583122,21.10,0.00
1745583483,21.34,0.00
1745583843,21.54,0.00
1745584203,21.56,0.00
1745584562,21.57,0.00
1745584922,21.86,0.00
1745585282,22.86,0.00
1745585643,25.32,0.00
1745586003,26.29,0.00
1745586363,26.68,0.00
1745586722,27.42,0.00
1745587082,27.66,0.00
1745587442,27.83,0.00
1745587803,28.21,0.00
1745588163,26.66,0.00
1745588523,27.31,0.00
1745588882,27.51,0.00
1745589242,27.65,0.00
1745589602,27.17,0.00
1745589963,27.64,0.00
1745590323,27.82,0.00
1745590683,27.27,0.00
1745591043,27.28,0.00
1745591402,28.69,0.00
1745591762,28.47,0.00
1745592122,28.32,0.00
1745592483,28.70,0.00
1745592843,29.14,0.00
1745593203,28.47,0.00
1745593562,28.92,0.00
1745593922,28.90,0.00
1745594282,28.56,0.00
1745594643,28.09,0.00
1745595003,28.44,0.00
1745595362,28.58,0.00
1745595722,28.38,0.00
1745596082,28.36,0.00
1745596442,28.34,0.00
1745596803,28.55,0.00
1745597163,28.89,0.00
1745597523,28.87,0.00
1745597882,28.58,0.00
1745598242,29.04,0.00
1745598602,28.80,0.00
1745598963,29.25,0.00
1745599323,28.88,0.00
1745599683,28.88,0.00
1745600042,28.89,0.00
1745600402,29.35,0.00
1745600762,28.66,0.00
1745601122,28.94,0.00
1745601483,29.15,0.00
1745601843,28.06,0.00
1745602203,28.41,0.00
1745602562,27.50,0.00
1745602922,27.95,0.00
1745603282,28.24,0.00
1745603643,29.09,0.00
1745604003,28.62,0.00
1745604363,28.59,0.00
1745604722,28.45,0.00
1745605082,27.96,0.00
1745605442,27.80,0.00
1745605803,27.82,0.00
1745606162,27.82,0.00
1745606522,26.71,0.00
1745606882,27.73,0.00
1745607242,28.46,0.00
1745607603,28.76,0.00
1745607963,28.14,0.00
1745608322,27.07,0.00
1745608682,27.34,0.00
1745609042,27.02,0.00
1745609403,27.01,0.00
1745609763,26.87,0.00
1745610123,26.65,0.00
1745610482,26.62,0.00
1745610842,26.64,0.00
1745611202,26.45,0.00
1745611562,26.77,0.00
1745611922,26.48,0.00
1745612282,26.72,0.00
1745612643,26.53,0.00
1745613003,26.52,0.00
1745613363,26.20,0.00
1745613722,26.18,0.00
1745614082,26.62,0.00
1745614442,26.81,0.00
1745614802,25.96,0.00
1745615163,26.14,0.00
1745615523,26.13,0.00
1745615883,26.12,0.00
1745616242,25.80,0.00
1745616602,25.78,0.00
1745616962,25.39,0.00
1745617323,25.08,0.00
1745617683,25.25,0.00
1745618043,25.24,0.00
1745618403,25.22,0.00
1745618762,25.20,0.00
1745619122,25.00,0.00
1745619482,24.69,0.00
1745619843,24.68,0.00
1745620203,24.55,0.00
1745620563,24.39,0.00
1745620922,24.72,0.00
1745621282,24.31,0.00
1745621642,24.31,0.00
1745622003,24.13,0.00
1745622363,24.13,0.00
1745622723,24.12,0.00
1745623082,24.61,0.00
1745623442,24.63,0.00
1745623802,24.49,0.00
1745624163,24.47,0.00
1745624523,24.24,0.00
1745624883,24.23,0.00
1745625243,24.20,0.00
1745625602,24.06,0.00
1745625962,24.05,0.00
1745626322,23.87,0.00
