Real_Time,Temp_C,Cond_uScm-1
946684806,24.65,0.00
Real_Time,Temp_C,Cond_uScm-1
1751990403,30.02,0.00
Real_Time,Temp_C,Cond_uScm-1
946684805,35.35,0.00
1752173283,34.39,0.00
1752173643,35.85,0.00
1752174002,35.08,0.00
1752174362,35.41,0.00
1752174722,35.58,0.00
1752175082,34.78,0.00
1752175442,34.23,0.00
1752175803,34.68,0.00
1752176163,35.14,0.00
1752176523,34.24,0.00
1752176882,34.40,0.00
1752177242,34.15,0.00
1752177602,33.63,0.00
1752177963,33.60,0.00
1752178323,34.27,0.00
1752178683,33.47,0.00
1752179043,33.97,0.00
1752179402,33.98,0.00
1752179762,34.47,0.00
1752180122,34.70,0.00
1752180483,34.01,0.00
1752180843,34.31,0.00
1752181203,34.32,0.00
1752181562,34.16,0.00
1752181922,34.16,0.00
1752182282,34.17,0.00
1752182642,33.59,0.00
1752183002,34.43,0.00
1752183363,33.40,0.00
1752183723,32.28,0.00
1752184083,32.86,0.00
1752184442,32.57,0.00
1752184803,32.20,0.00
1752185163,31.73,0.00
1752185523,31.74,0.00
1752185882,31.55,0.00
1752186242,31.23,0.00
1752186602,31.22,0.00
1752186962,31.22,0.00
1752187323,31.21,0.00
1752187683,30.77,0.00
1752188043,30.91,0.00
1752188403,30.89,0.00
1752188762,30.25,0.00
1752189122,30.42,0.00
1752189482,30.43,0.00
1752189843,30.24,0.00
1752190203,30.07,0.00
1752190563,29.68,0.00
1752190923,29.92,0.00
1752191283,29.90,0.00
1752191643,29.61,0.00
1752192003,29.63,0.00
1752192363,29.65,0.00
1752192722,29.67,0.00
1752193082,29.82,0.00
1752193442,29.82,0.00
1752193803,29.55,0.00
1752194163,29.71,0.00
1752194523,29.69,0.00
1752194882,29.67,0.00
1752195242,29.65,0.00
1752195602,29.45,0.00
1752195962,29.46,0.00
1752196323,29.61,0.00
1752196683,29.59,0.00
1752197043,29.32,0.00
1752197402,29.31,0.00
1752197762,29.29,0.00
1752198122,29.53,0.00
1752198482,29.33,0.00
1752198843,29.19,0.00
1752199203,29.20,0.00
1752199562,28.95,0.00
1752199922,28.42,0.00
1752200282,27.84,0.00
1752200643,27.18,0.00
1752201003,26.99,0.00
1752201363,26.99,0.00
1752201722,26.76,0.00
1752202082,26.58,0.00
1752202442,26.58,0.00
1752202802,26.36,0.00
1752203163,26.34,0.00
1752203523,26.32,0.00
1752203883,26.30,0.00
1752204242,26.04,0.00
1752204602,26.02,0.00
1752204962,26.01,0.00
1752205322,25.61,0.00
1752205683,25.62,0.00
1752206043,25.83,0.00
1752206403,25.80,0.00
1752206762,25.47,0.00
1752207122,25.50,0.00
1752207482,25.64,0.00
1752207843,25.64,0.00
1752208203,25.62,0.00
1752208563,25.61,0.00
1752208922,25.61,0.00
1752209282,25.60,0.00
1752209642,25.62,0.00
1752210002,25.61,0.00
1752210363,25.59,0.00
1752210723,25.57,0.00
1752211083,25.56,0.00
1752211442,25.53,0.00
1752211802,25.34,0.00
1752212162,25.35,0.00
1752212523,25.20,0.00
1752212883,25.21,0.00
1752213243,25.22,0.00
1752213602,25.22,0.00
1752213962,25.42,0.00
1752214322,25.22,0.00
1752214682,25.23,0.00
1752215043,25.23,0.00
1752215402,25.40,0.00
1752215762,25.39,0.00
1752216122,25.22,0.00
1752216483,25.21,0.00
1752216842,25.21,0.00
1752217202,25.21,0.00
1752217562,24.94,0.00
1752217922,24.96,0.00
1752218283,24.75,0.00
1752218643,24.96,0.00
1752219003,24.98,0.00
1752219362,25.38,0.00
1752219722,25.37,0.00
1752220082,25.36,0.00
1752220442,25.35,0.00
1752220803,25.21,0.00
1752221163,25.19,0.00
1752221523,24.95,0.00
1752221883,25.19,0.00
1752222242,25.16,0.00
1752222602,25.14,0.00
1752222962,25.12,0.00
1752223322,25.10,0.00
1752223682,25.26,0.00
1752224042,24.96,0.00
1752224402,25.15,0.00
1752224762,25.17,0.00
1752225123,25.17,0.00
1752225483,25.17,0.00
1752225843,25.16,0.00
1752226202,25.16,0.00
1752226562,25.16,0.00
1752226922,25.34,0.00
1752227282,25.33,0.00
1752227643,25.14,0.00
1752228003,25.16,0.00
1752228363,25.15,0.00
1752228722,25.16,0.00
1752229082,25.30,0.00
1752229442,25.31,0.00
1752229802,25.33,0.00
1752230163,25.50,0.00
1752230523,25.65,0.00
1752230883,25.49,0.00
1752231242,25.47,0.00
1752231602,25.44,0.00
1752231962,25.58,0.00
1752232322,25.57,0.00
1752232683,25.60,0.00
1752233043,25.60,0.00
1752233403,25.61,0.00
1752233762,25.63,0.00
1752234122,25.64,0.00
1752234482,25.67,0.00
1752234843,25.68,0.00
1752235203,26.03,0.00
1752235563,26.30,0.00
1752235922,26.72,0.00
1752236282,27.45,0.00
1752236642,27.06,0.00
1752237002,27.47,0.00
1752237363,27.90,0.00
1752237723,28.31,0.00
1752238083,28.29,0.00
1752238443,28.11,0.00
1752238803,28.44,0.00
1752239163,28.71,0.00
1752239522,28.73,0.00
1752239882,29.05,0.00
1752240242,29.04,0.00
1752240602,29.03,0.00
1752240962,29.02,0.00
1752241322,29.55,0.00
1752241683,29.40,0.00
1752242043,29.87,0.00
1752242403,29.88,0.00
1752242762,29.74,0.00
1752243122,29.44,0.00
1752243482,29.24,0.00
1752243842,29.26,0.00
1752244202,29.40,0.00
1752244563,28.93,0.00
1752244923,29.13,0.00
1752245283,29.33,0.00
1752245642,29.59,0.00
1752246002,29.58,0.00
1752246362,29.57,0.00
1752246722,30.19,0.00
1752247083,30.21,0.00
1752247443,30.75,0.00
1752247803,30.99,0.00
1752248162,30.64,0.00
1752248522,30.45,0.00
1752248882,30.69,0.00
1752249243,30.68,0.00
1752249603,31.52,0.00
1752249963,31.15,0.00
1752250322,31.84,0.00
1752250682,31.86,0.00
1752251042,32.50,0.00
1752251402,32.77,0.00
1752251763,33.12,0.00
1752252123,32.97,0.00
1752252483,32.15,0.00
1752252843,31.95,0.00
1752253203,32.15,0.00
1752253563,32.36,0.00
1752253923,32.62,0.00
1752254282,33.72,0.00
1752254643,34.09,0.00
1752255002,34.11,0.00
1752255363,34.11,0.00
1752255722,34.11,0.00
1752256083,34.33,0.00
1752256443,34.06,0.00
1752256803,34.75,0.00
1752257162,35.15,0.00
1752257522,34.21,0.00
1752257883,33.57,0.00
1752258243,34.79,0.00
1752258603,34.37,0.00
1752258963,35.63,0.00
1752259322,33.10,0.00
1752259683,33.62,0.00
1752260043,33.63,0.00
1752260402,33.78,0.00
1752260763,32.78,0.00
1752261123,31.99,0.00
1752261483,33.73,0.00
1752261843,34.15,0.00
1752262202,33.33,0.00
1752262562,34.01,0.00
1752262923,32.03,0.00
1752263282,33.30,0.00
1752263642,31.79,0.00
1752264002,33.59,0.00
1752264363,33.40,0.00
1752264723,33.39,0.00
1752265083,34.45,0.00
1752265443,33.90,0.00
1752265802,33.69,0.00
1752266163,34.30,0.00
1752266522,33.64,0.00
1752266882,34.58,0.00
1752267243,34.38,0.00
1752267603,33.47,0.00
1752267963,33.89,0.00
1752268323,34.80,0.00
1752268682,33.93,0.00
1752269043,34.23,0.00
1752269403,34.77,0.00
1752269763,33.12,0.00
1752270123,32.66,0.00
1752270482,32.85,0.00
1752270843,32.27,0.00
1752271203,32.26,0.00
1752271563,31.71,0.00
1752271922,31.85,0.00
1752272283,31.85,0.00
1752272643,31.71,0.00
1752273003,31.40,0.00
1752273362,31.25,0.00
1752273723,31.80,0.00
1752274083,30.73,0.00
1752274443,30.90,0.00
1752274802,30.41,0.00
1752275163,30.41,0.00
1752275523,30.39,0.00
1752275882,30.40,0.00
1752276242,30.16,0.00
1752276603,30.40,0.00
1752276963,30.41,0.00
1752277322,30.00,0.00
1752277682,29.98,0.00
1752278043,29.96,0.00
1752278403,29.74,0.00
1752278763,29.75,0.00
1752279122,29.74,0.00
1752279483,29.71,0.00
1752279843,29.43,0.00
1752280202,29.42,0.00
1752280562,29.17,0.00
1752280922,29.32,0.00
1752281283,29.29,0.00
1752281643,29.04,0.00
1752282003,29.03,0.00
1752282362,29.05,0.00
1752282722,29.06,0.00
1752283082,28.90,0.00
1752283442,28.91,0.00
1752283803,28.91,0.00
1752284163,28.94,0.00
1752284523,28.96,0.00
1752284882,28.95,0.00
1752285242,28.95,0.00
1752285602,28.94,0.00
1752285963,28.94,0.00
1752286322,28.95,0.00
1752286682,28.73,0.00
1752287043,28.55,0.00
1752287403,28.57,0.00
