"Real_Time","Temp_C","Cond_uScm.1","Cond_uScm.cor","Cond_mScm","seaPressure","practicalSalinity"
1745506803,24.48,0,262,0.262,0,0.125350833684248
1745507163,26.02,0,262,0.262,0,0.121397634425943
1745507522,25.71,0,262,0.262,0,0.122175927303272
1745507882,25.34,0,262,0.262,0,0.123116231104037
1745508242,25.67,0,262,0.262,0,0.122276981681934
1745508602,25.39,0,262,0.262,0,0.122988432336738
1745508963,25.39,0,262,0.262,0,0.122988432336738
1745509323,25.62,0,262,0.262,0,0.122403503302803
1745509683,25.64,0,262,0.262,0,0.122352867470681
1745510042,25.61,0,262,0.262,0,0.122428834823959
1745510402,25.28,0,262,0.262,0,0.123269893141441
1745510762,24.45,0,262,0.262,0,0.125430048222782
1745511123,25.04,0,262,0.262,0,0.123887871298567
1745511483,24.6,0,262,0.262,0,0.125034837524371
1745511843,25.15,0,262,0.262,0,0.123603967886299
1745512202,25.42,0,262,0.262,0,0.122911863195291
1745512562,25.41,0,262,0.262,0,0.122937377076289
1745512922,25.81,0,262,0.262,0,0.12192392298308
1745513283,25.05,0,262,0.262,0,0.123862015330129
1745513643,25.07,0,262,0.262,0,0.123810331370091
1745514003,24.87,0,262,0.262,0,0.124328854247425
1745514362,25.64,0,262,0.262,0,0.122352867470681
1745514722,24.79,0,262,0.262,0,0.124537315228827
1745515082,24.58,0,262,0.262,0,0.125087407978104
1745515443,25.41,0,262,0.262,0,0.122937377076289
1745515803,25.08,0,262,0.262,0,0.12378450336937
1745516163,25.06,0,262,0.262,0,0.123836168688824
1745516522,24.92,0,262,0.262,0,0.124198872100548
1745516883,25.64,0,262,0.262,0,0.122352867470681
1745517243,25.88,0,262,0.262,0,0.121748055022649
1745517602,26.75,0,262,0.262,0,0.119598429580029
1745517963,25.84,0,262,0.262,0,0.121848497157278
1745518323,26.14,0,262,0.262,0,0.121098662363719
1745518682,26.39,0,262,0.262,0,0.120479886665837
1745519042,25.88,0,262,0.262,0,0.121748055022649
1745519402,26.11,0,262,0.262,0,0.121173285669607
1745519762,25.48,0,262,0.262,0,0.122758972117522
1745520123,25.31,0,262,0.262,0,0.123193020680282
1745520483,25.47,0,262,0.262,0,0.122784431104155
1745520842,25.26,0,262,0.262,0,0.12332118755598
1745521203,25.27,0,262,0.262,0,0.123295535735001
1745521563,25.29,0,262,0.262,0,0.123244259770799
1745521922,25.48,0,262,0.262,0,0.122758972117522
1745522282,25.06,0,262,0.262,0,0.123836168688824
1745522642,25.06,0,262,0.262,0,0.123836168688824
1745523002,25.03,0,262,0.262,0,0.123913736598702
1745523362,25.04,0,262,0.262,0,0.123887871298567
1745523723,24.46,0,262,0.262,0,0.125403633776856
1745524083,24.75,0,262,0.262,0,0.124641772292999
1745524443,24.62,0,262,0.262,0,0.124982305212061
1745524802,24.15,0,262,0.262,0,0.126226969804397
1745525162,23.93,0,262,0.262,0,0.126816948399245
1745525523,24.39,0,262,0.262,0,0.125588736791496
1745525882,24.56,0,262,0.262,0,0.125140016610817
1745526242,24.55,0,262,0.262,0,0.12516633525604
1745526603,24.53,0,262,0.262,0,0.125219001227745
1745526962,24.36,0,262,0.262,0,0.125668211077875
1745527322,24.38,0,262,0.262,0,0.125615218579422
1745527683,24.37,0,262,0.262,0,0.125641710006629
1745528043,24.12,0,262,0.262,0,0.126307142421495
1745528403,23.89,0,262,0.262,0,0.126924728243397
1745528762,24.26,0,262,0.262,0,0.125933753261282
1745529123,23.97,0,262,0.262,0,0.12670932625651
1745529483,23.97,0,262,0.262,0,0.12670932625651
1745529843,24.19,0,262,0.262,0,0.126120209451564
1745530202,23.8,0,262,0.262,0,0.127167811113329
1745530563,23.57,0,262,0.262,0,0.12779268202549
1745530922,23.81,0,262,0.262,0,0.127140762290491
1745531282,23.6,0,262,0.262,0,0.127710877387282
1745531643,23.62,0,262,0.262,0,0.127656391067271
1745532002,23.6,0,262,0.262,0,0.127710877387282
1745532363,23.41,0,262,0.262,0,0.128230501964916
1745532723,23.19,0,262,0.262,0,0.12883673666385
1745533082,23.19,0,262,0.262,0,0.12883673666385
1745533443,23.19,0,262,0.262,0,0.12883673666385
