Time (America/New_York),MSNB_S Wind speed (knots),MSNB_S Wind speed (knots) quality,MSNB_S Rain (day) (in),MSNB_S Rain (day) (in) quality,MSNB_S Rain (last 6 min) (in),MSNB_S Rain (last 6 min) (in) quality
2025-05-07 00:00,2.45,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 00:06,2.70,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 00:12,3.01,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 00:18,2.32,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 00:24,1.73,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 00:30,1.88,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 00:36,2.02,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 00:42,2.05,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 00:48,1.90,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 00:54,1.41,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 01:00,1.46,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 01:06,1.47,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 01:12,1.81,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 01:18,2.18,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 01:24,1.94,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 01:30,2.06,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 01:36,1.77,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 01:42,2.15,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 01:48,2.58,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 01:54,3.17,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 02:00,3.63,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 02:06,3.97,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 02:12,3.35,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 02:18,2.72,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 02:24,3.26,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 02:30,3.64,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 02:36,3.46,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 02:42,3.79,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 02:48,3.01,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 02:54,2.09,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 03:00,2.28,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 03:06,2.62,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 03:12,1.76,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 03:18,1.84,good,0.00,not evaluated,0.00,not evaluated
2025-05-07 03:24,2.92,good,0.00,not evaluated,0.00,not evaluated
